ENVIS School - Luyện thi IELTS	26 Đ. Láng, Thịnh Quang, Đống Đa, Hà Nội	0972 952 083	http://envis.edu.vn/	hello@envis.edu.vn
Scots English Nguyễn Xiển	BI-BT2, Khu đô thị mới, Thanh Trì, Hà Nội	0969 464 618	https://scotsenglish.edu.vn/	None
Scots English Nguyễn Tuân	Lô 6 - Liền kề 2, số 90, 90 Đ. Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội	0813 011 090	https://scotsenglish.edu.vn/	None
GEMS EDU- Hệ Thống anh ngữ quốc tế	2 P. Vương Thừa Vũ, Khương Trung, Thanh Xuân, Hà Nội 120701	0785 758 659	None	None
ILA - Tây Sơn	Tòa nhà Phương Đông, 324 P. Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội 100000	024 7307 1168	https://ila.edu.vn/	None
Impetus English	NTT 15 90 Nguyễn Tuân Hà Nội, Hanoi City, 110000	0964 837 455	https://www.facebook.com/IMPETUS.Edu?mibextid=wwXIfr&mibextid=wwXIfr	impetus.english.edu@gmail.com
Apollo English Nguyễn Tuân	tòa nhà Thống Nhất Complex, 82 Đ. Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội 100000	024 7308 4886	https://apollo.edu.vn/	None
Trung Tâm Anh Ngữ Washington Language Center	66 P. Võ Thị Sáu, Thanh Nhàn, Hai Bà Trưng, Hà Nội	024 3625 0952 ext. 13	None	None
Clever Academy	Viet Tower, 01 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 10000	0975 861 994	https://cleveracademy.vn/	info@cleveracademy.vn
Pps Vietnam English center	ngõ 183 P. Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội	None	None	None
Trung tâm ngoại ngữ Quốc Tế Ocean Edu Nguyễn Trãi	312 Đ. Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội 100000	024 3540 6509	https://ocean.edu.vn/	ocean_vinhyen2@ocean.edu.vn, ocean_linhdam@ocean.edu.vn, ocean_giaothuy@ocean.edu.vn, ocean_tantrieu@ocean.edu.vn, ocean_viettri@ocean.edu.vn, ocean_bacninh@ocean.edu.vn, ocean_phucu@ocean.edu.vn, ocean_bala@ocean.edu.vn, ocean_kyanh@ocean.edu.vn, ocean_khoaichau@ocean.edu.vn, ocean_thanhmien@ocean.edu.vn, ocean_nhoquan@ocean.edu.vn, ocean_kimson@ocean.edu.vn, ocean_xuanmai@ocean.edu.vn, ocean_vuban@ocean.edu.vn, ocean_mongcai@ocean.edu.vn, ocean_dongtrieu@ocean.edu.vn, ocean_campha2@ocean.edu.vn, ocean_hagiang@ocean.edu.vn, ocean_mydinh@ocean.edu.vn, ocean_quangngai@ocean.edu.vn, ocean_gialoc@ocean.edu.vn, ocean_pleiku@ocean.edu.vn, ocean_camkhe@ocean.edu.vn, ocean_thoaingochau@ocean.edu.vn, ocean_luongtai@ocean.edu.vn, ocean_lynhan@ocean.edu.vn, ocean_kienxuong@ocean.edu.vn, ocean_kimdong@ocean.edu.vn, ocean_nghison@ocean.edu.vn, ocean_luongson@ocean.edu.vn, ocean_sontay@ocean.edu.vn, ocean_dienchau@ocean.edu.vn, ocean_quocoai@ocean.edu.vn, ocean_chilinh@ocean.edu.vn, ocean_yenlac@ocean.edu.vn, ocean_thuongtin@ocean.edu.vn, ocean_ninhgiang@ocean.edu.vn, ocean_ninhbinh@ocean.edu.vn, ocean_thaibinh@ocean.edu.vn, ocean_vinh2@ocean.edu.vn, ocean_vinh@ocean.edu.vn, ocean_tangnhonphu@ocean.edu.vn, ocean_tuson@ocean.edu.vn, ocean_uongbi@ocean.edu.vn, ocean_phucyen@ocean.edu.vn, ocean_kontum@ocean.edu.vn, ocean_sonla@ocean.edu.vn, ocean_bimson@ocean.edu.vn, ocean_haihau@ocean.edu.vn, ocean_tiendu@ocean.edu.vn, ocean_ankhanh@ocean.edu.vn, ocean_vinhloc@ocean.edu.vn, ocean_namdinh2@ocean.edu.vn, ocean_langson@ocean.edu.vn, ocean_phulo@ocean.edu.vn, ocean_songcong@ocean.edu.vn, ocean_duongnoi@ocean.edu.vn, ocean_yenmy@ocean.edu.vn, ocean_hoabinh@ocean.edu.vn, ocean_dongvan@ocean.edu.vn, ocean_truongdinh@ocean.edu.vn, ocean_phonoi@ocean.edu.vn, ocean_thainguyen@ocean.edu.vn, ocean_xuantruong@ocean.edu.vn, ocean_yendung@ocean.edu.vn, ocean_ngochoi@ocean.edu.vn, ocean_lucnam@ocean.edu.vn, ocean_yendinh@ocean.edu.vn, ocean_dongha@ocean.edu.vn, ocean_thaithuy@ocean.edu.vn, ocean_laocai@ocean.edu.vn, ocean_thanhhoa@ocean.edu.vn, ocean_quangnyen@ocean.edu.vn, ocean_tamduong@ocean.edu.vn, ocean_danang@ocean.edu.vn, ocean_thanhhoa3@ocean.edu.vn, ocean_thuynguyen@ocean.edu.vn, ocean_donganh@ocean.edu.vn, ocean_hiephoa@ocean.edu.vn, ocean_chucson@ocean.edu.vn, ocean_vanlam@ocean.edu.vn, ocean_bavi@ocean.edu.vn, ocean_hoamac@ocean.edu.vn, ocean_quynhon@ocean.edu.vn, ocean_kienan@ocean.edu.vn, ocean_thieuhoa@ocean.edu.vn, ocean_vangiang@ocean.edu.vn, ocean_phanvantri@ocean.edu.vn, ocean_hungha@ocean.edu.vn, ocean_campha@ocean.edu.vn, ocean_tohuu@ocean.edu.vn, ocean_anduong@ocean.edu.vn, ocean_namtruc@ocean.edu.vn, ocean_thainguyen2@ocean.edu.vn, ocean_bacgiang3@ocean.edu.vn, ocean_maokhe@ocean.edu.vn, ocean_thoxuan@ocean.edu.vn, ocean_viettri3@ocean.edu.vn, ocean_vietyen@ocean.edu.vn, ocean_melinh@ocean.edu.vn, ocean_hoalu@ocean.edu.vn, ocean_phucyen2@ocean.edu.vn, ocean_yenbai2@ocean.edu.vn, ocean_yenkhanh@ocean.edu.vn, ocean_phoyen2@ocean.edu.vn, ocean_hoaiduc@ocean.edu.vn, ocean_hungyen2@ocean.edu.vn, ocean_vinh3@ocean.edu.vn, ocean_thaibinh2@ocean.edu.vn, ocean_khuongtrung@ocean.edu.vn, ocean_quangngai2@ocean.edu.vn, ocean_nghiahung@ocean.edu.vn, ocean_baichay@ocean.edu.vn, ocean_ninhbinh3@ocean.edu.vn, ocean_donghoi@ocean.edu.vn, ocean_quangnam@ocean.edu.vn, ocean_tienhai@ocean.edu.vn, ocean_trungliet@ocean.edu.vn, ocean_nghiloc@ocean.edu.vn, ocean_nguyenxi@ocean.edu.vn, ocean_gialam@ocean.edu.vn, ocean_vinhyen@ocean.edu.vn, ocean_donghung@ocean.edu.vn, ocean_socson@ocean.edu.vn, ocean_quevo@ocean.edu.vn, ocean_xuanhoa@ocean.edu.vn, ocean_langgiang@ocean.edu.vn, ocean_hatinh@ocean.edu.vn, ocean_namsach@ocean.edu.vn, ocean_daitu@ocean.edu.vn, ocean_thachthat@ocean.edu.vn, ocean_haiphong@ocean.edu.vn, ocean_quynhphu@ocean.edu.vn, ocean_phuly@ocean.edu.vn, ocean_tuyenquang@ocean.edu.vn, ocean_phoyen@ocean.edu.vn, ocean_vinhyen3@ocean.edu.vn, ocean_thuanthanh@ocean.edu.vn, ocean_halong@ocean.edu.vn, ocean_nlb@ocean.edu.vn, ocean_thanhha@ocean.edu.vn, ocean_butson@ocean.edu.vn, ocean_doluong@ocean.edu.vn, ocean_kvkl@ocean.edu.vn, ocean_hatinh3@ocean.edu.vn, ocean_bmt@ocean.edu.vn, ocean_haiduong@ocean.edu.vn, ocean_thaihoa@ocean.edu.vn, ocean_danphuong@ocean.edu.vn, ocean_quynhluu@ocean.edu.vn, ocean_gangthep@ocean.edu.vn, ocean_nguyentrai@ocean.edu.vn, ocean_anthi@ocean.edu.vn, ocean_namdinh@ocean.edu.vn, ocean_thanhoa2@ocean.edu.vn, ocean_dienbien@ocean.edu.vn, ocean_trieuson@ocean.edu.vn, ocean_tanyen@ocean.edu.vn, ocean_nongcong@ocean.edu.vn, ocean_viettri2@ocean.edu.vn, ocean_binhgiang@ocean.edu.vn, ocean_yenphong@ocean.edu.vn, ocean_donganh2@ocean.edu.vn, info@ocean.edu.vn, ocean_bacgiang2@ocean.edu.vn, ocean_phucuong@ocean.edu.vn, ocean_lapthach@ocean.edu.vn, ocean_nhuquynh@ocean.edu.vn, ocean_samson@ocean.edu.vn, ocean_phutho@ocean.edu.vn, ocean_tuson2@ocean.edu.vn, ocean_vinhtuong@ocean.edu.vn, ocean_vandinh@ocean.edu.vn
Amslink Láng Hạ 1	ngõ 59 P. Láng Hạ, Chợ Dừa, Ba Đình, Hà Nội	024 7305 0384	http://amslink.edu.vn/	nguyensyminh@gmail.com, Hethonganhngu@amslink.edu.vn
TRUNG TÂM ANH NGỮ ENSPIRE ACADEMY	80A P. Láng Hạ, Láng Hạ, Đống Đa, Hà Nội	0901 599 989	http://enspire.edu.vn/	Asset-2@2x.png, bacninh@enspire.edu.vn, info@enspire.edu.vn, truong-truong-mam-non-song-ngu-pooh-house-vinh-hung-ETsZLSKwq5@1656927475.jpg, Asset-8@2x.png, Asset-7@2x.png, truong-mam-non-happy-smile-dich-vong-BmQ0eS8tmc@1651812041.jpeg, haiphong@enspire.edu.vn
PPSVietnam	5 Ngh. 95/8 P. Chùa Bộc, Trung Liệt, Đống Đa, Hà Nội 100000	0966 861 650	None	None
British Vietnamese International School Hanoi	Royal City, 72A Đ. Nguyễn Trãi, Street, Thanh Xuân, Hà Nội	024 6266 8800	https://www.nordangliaeducation.com/bvis-hanoi?utm_source=google&utm_medium=organic&utm_campaign=Yext_GBM_SEA004_10496910&y_source=1_MTA0OTY5MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	enquiry@bvishanoi.com
Trung tâm tiếng Anh Language Link Academic Hoàng Đạo Thúy	Tòa nhà 34T, P. Hoàng Đạo Thúy, Trung Hoà, Cầu Giấy, Hà Nội 100000	024 6256 6888	https://llv.edu.vn/	ask@languagelink.vn
Hội đồng Anh Việt Nam	20 Đ. Thụy Khuê, Thuỵ Khuê, Tây Hồ, Hà Nội	024 3843 6780	http://www.britishcouncil.vn/	bchanoi@britishcouncil.org.vn
Linh IELTS UK English School	Ng. 167 P. Tây Sơn/ngách 31 P. Tây Sơn, Quang Trung, Đống Đa, Hà Nội	0798 813 333	https://www.linhuk.com/	None
Công ty Cổ phần Giáo dục Quốc tế Elink Việt Nam	11 Ng. 167 P. Tây Sơn, Quang Trung, Đống Đa, Hà Nội 10000	None	https://elinkgate.gnomio.com/	None
