Name    Type    Address  Phone  Link
Hanoi Academy (Language & Culture)	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · Hà Nội	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0388 383 789	http://hanoilanguage.vn/
Hanoi Connection - Cơ sở Thượng Đình, Thanh Xuân, Hà Nội	Trường dạy tiếng Anh	58 P. Cự Lộc	Mở cả ngày · 0964 886 672	http://hanoiconnection.com/
The Catalyst for English	Trường ngoại ngữ	Đã hoạt động hơn 3 năm · 236 P. Nguyễn Văn Tuyết	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0962 799 826	https://thecatalyst.edu.vn/
ETP TESOL - Vững Bước Sự Nghiệp Giáo Viên Tiếng Anh	Trường ngoại ngữ	293 P. Quan Nhân	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0986 477 756	https://etp-tesol.edu.vn/
Universal Language Center Cơ Sở 05 I Trung tâm Luyện thi IELTS, TOEIC, Giao Tiếp	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · 23 P. Tô Vĩnh Diện	Mở cả ngày · 1900 6876	https://universal.edu.vn/lo-trinh-hoc-ielts/
Trung tâm luyện thi IELTS DOL Đình Lực quận Thanh Xuân	Trường dạy tiếng Anh	Tòa tháp Gold Tower, 275 Đ. Nguyễn Trãi	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 1800 969639	https://www.dolenglish.vn/
Trung tâm ngoại ngữ Quốc Tế Ocean Edu Khương Trung	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · Sảnh A Videc Complex, 283 P.Khương Trung	Đã đóng cửa ⋅ Mở lúc 7:50 Th 6 · 024 3761 5999	https://ocean.edu.vn/
Tiếng Trung Baobaoxue	Trường dạy tiếng Trung Quốc	Liền kề 1, Ng. 90 Nguyễn Tuân	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0352 985 358	https://tiengtrungbaobaoxue.com/
Idea Zone - Tiếng Anh giao tiếp thực tế	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · Toà nhà Vân Nam, 26 Đ. Láng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0969 117 659	None
Trung tâm ngoại ngữ Quốc Tế Ocean Edu Nguyễn Trãi	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · 312 Đ. Nguyễn Trãi	Đã đóng cửa ⋅ Mở lúc 7:50 Th 6 · 024 3540 6509	https://ocean.edu.vn/
Scots English Nguyễn Tuân	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · Lô 6 - Liền kề 2, số 90, 90 Đ. Nguyễn Tuân	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0813 011 090	https://scotsenglish.edu.vn/
SunUni Academy	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · 61E Đ. La Thành	Đã đóng cửa ⋅ Mở lúc 9:30 Th 6 · 1900 292936	https://www.sununi.edu.vn/
NBA Language & Training Center	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · 145B, Ngõ 562 Đường Láng Hà Nội Hanoi City	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0983 120 891	None
Alisa English	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · 96B Nguyễn Huy Tưởng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0969 953 399	https://alisa.edu.vn/
Scots English Trường Chinh	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · 201 Đ. Trường Chinh	Mở cả ngày	https://scotsenglish.edu.vn/
Tổ chức Giáo dục Pháp ngữ Je Parle Français - JPF Hà Nội	Nhà tư vấn giáo dục	Đã hoạt động hơn 7 năm · 12 Ng. Tức Mặc	Mở cả ngày · 024 3633 0412	https://jpf.edu.vn/
ILA - Tây Sơn	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · Tòa nhà Phương Đông, 324 P. Tây Sơn	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 024 7307 1168	https://ila.edu.vn/
Shining Home - Gia Đình Anh Ngữ	Trường dạy tiếng Anh	P. Lê Trọng Tấn	Mở cả ngày · 0766 322 888	https://shininghome.edu.vn/dang-ky-hoc-thu/?utm_source=map&utm_id=map
Royal Cambridge - Luyện thi Cambridge, IELTS và xây chắc gốc ngữ pháp.	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · 72 Đ. Nguyễn Trãi	Đã đóng cửa ⋅ Mở lúc 16:30 Th 6 · 0904 500 366	None
Impetus English	Trường dạy tiếng Anh	NTT 15 90 Nguyễn Tuân Hà Nội	Đã đóng cửa ⋅ Mở lúc 17:00 Th 6 · 0964 837 455	https://www.facebook.com/IMPETUS.Edu?mibextid=wwXIfr&mibextid=wwXIfr
Trung tâm tiếng anh HP English Campus - Tiếng Anh Giao Tiếp Người Lớn, Trẻ Em	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · 912 P. Thiên Lôi	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0225 7301 222	None
Trung tâm học Tiếng Trung, Tiếng Đức, Tiếng Hàn Hải Phòng AMANDA	Trường ngoại ngữ	Đã hoạt động hơn 5 năm · 44 P. Nguyễn Tất Tố	Mở cả ngày · 0392 609 699	https://www.facebook.com/ngoainguhaiphongamanda
Trung tâm luyện thi IELTS - HP English Campus	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · 912 P. Thiên Lôi	Mở cả ngày · 0225 7301 222	None
Trung Tâm Anh Ngữ MES-Luyện IELTS Hải Phòng	Trung tâm trường học	tòa nhà Lê Phạm (LP building, Tầng 8, 100 P. Tô Hiệu	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0931 596 990	https://www.facebook.com/hocielts.captoc.haiphong/
IELTS Fighter - Ms Hoa Junior Lạch Tray, Hải Phòng	Trường ngoại ngữ	Đã hoạt động hơn 3 năm · 428 Lạch Tray	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0225 6291 888	https://ielts-fighter.com/
Trung tâm Ngoại ngữ Berlin	Trường ngoại ngữ	Đã hoạt động hơn 3 năm · 266 P. Trần Nguyên Hãn	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0936 944 489	None
Pingu’s English Hải Phòng	Trường ngoại ngữ	Đã hoạt động hơn 5 năm · BH06-31, Manhattan 20	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0762 410 667	https://pingusenglish.vn/
TRUNG TÂM TIẾNG ĐỨC PANDA	Trường ngoại ngữ	Đã hoạt động hơn 3 năm · 129 P. Nguyễn Tất Tố	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0981 250 029	https://duhocpanda.edu.vn/
Tiếng Trung Xiao Ling Hải Phòng	Trường dạy tiếng Trung Quốc	464 Lạch Tray	Mở cả ngày · 0988 600 399	None
TT NGOẠI NGỮ SCET HẠ LÝ HẢI PHÒNG	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · Lô 29 khu 80	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0948 886 079	https://englishscet.com/
PhonicsPlay English Center - TRUNG TÂM TIẾNG ANH HÀNG ĐẦU TẠI AN DƯƠNG HẢI PHÒNG	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · Hoang Huy, LK1-46 Pruska	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0343 351 689	http://phonicsplay.edu.vn/
Trung Tâm Ngoại Ngữ ACE	Trường học	142 Ngô Gia Tự	Đã đóng cửa ⋅ Mở lúc 8:15 Th 6 · 0225 3833 777	http://ace-language.edu.vn/
Trung Tâm Ngoại Ngữ Thầy Phú - Homie Education	Trường ngoại ngữ	172 Lô 7C Lê Hồng Phong Hải Phòng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0913 044 716	None
Trung Tâm Du Học Hàn Quốc TGT Hải Phòng	Trường ngoại ngữ	34E P. Máy Tơ	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0356 419 989	https://www.facebook.com/duhochanhaiphong/
Trung tâm Ngoại ngữ - Tin học Hải phòng TOMATO	Trường ngoại ngữ	Đã hoạt động hơn 10 năm · 292 Lạch Tray	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0964 299 222	https://ngoaingutomato.edu.vn/
Ym Education, Ms Company	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · Số 27 lô, 15B Đ. Lê Hồng Phong	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0356 066 066	http://ymeducation.edu.vn/
Kaori Language school	Trung tâm giáo dục	Đã hoạt động hơn 15 năm · 116 Vĩnh Cát	Mở cả ngày	None
Candy English - Trung Tâm Anh Ngữ Trẻ Em (cơ sở Vin Imperia)	Trường dạy tiếng Anh	Manhattan 09-01	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0985 546 751	https://candyenglish.vn/
AMES ENGLISH Lạch Tray	Trường dạy tiếng Anh	Đã hoạt động hơn 10 năm · 484 Lạch Tray	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0225 3739 589	http://ames.edu.vn/
Anh ngữ Alice English Café	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · 46 Ng. 437 Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0963 024 068	https://www.aliceenglish.edu.vn/
ICLS Đà Nẵng - Trung tâm tiếng Hàn	Trường ngoại ngữ	Đã hoạt động hơn 10 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0236 3695 506	https://www.iclsdanang.net/
Trung tâm Anh ngữ IRIS English	Trung tâm giáo dục	Đã hoạt động hơn 10 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0236 6566 688	https://iris.edu.vn/
Tiếng Trung Nhật Lê	Trường dạy tiếng Trung Quốc	Đà Nẵng	Mở cả ngày · 0383 071 507	None
